canonical_code,round_number,value_raw,value_label,value_harmonized,is_missing,harmonization_rule,notes
trust_police,6,-1,Missing,,True,missing,
trust_police,6,0,Not at all,0,False,direct,
trust_police,6,1,Just a little,1,False,direct,
trust_police,6,2,Somewhat,2,False,direct,
trust_police,6,3,A lot,3,False,direct,
trust_police,6,9,Don't know/ Haven't heard enough,,True,missing,
trust_police,6,98,Refused,,True,missing,
trust_police,7,-1,Missing,,True,missing,
trust_police,7,0,Not at all,0,False,direct,
trust_police,7,1,Just a little,1,False,direct,
trust_police,7,2,Somewhat,2,False,direct,
trust_police,7,3,A lot,3,False,direct,
trust_police,7,8,Refused,,True,missing,
trust_police,7,9,Don’t know/Haven’t heard enough,,True,missing,
trust_police,8,-1,Missing,,True,missing,
trust_police,8,0,Not at all,0,False,direct,
trust_police,8,1,Just a little,1,False,direct,
trust_police,8,2,Somewhat,2,False,direct,
trust_police,8,3,A lot,3,False,direct,
trust_police,8,8,Refused,,True,missing,
trust_police,8,9,Don’t know/Haven’t heard enough to say,,True,missing,
trust_police,9,-1,Missing,,True,missing,
trust_police,9,0,Not at all,0,False,direct,
trust_police,9,1,Just a little,1,False,direct,
trust_police,9,2,Somewhat,2,False,direct,
trust_police,9,3,A lot,3,False,direct,
trust_police,9,8,Refused,,True,missing,
trust_police,9,9,Don’t know/Haven’t heard enough to say,,True,missing,
trust_courts,6,-1,Missing,,True,missing,
trust_courts,6,0,Not at all,0,False,direct,
trust_courts,6,1,Just a little,1,False,direct,
trust_courts,6,2,Somewhat,2,False,direct,
trust_courts,6,3,A lot,3,False,direct,
trust_courts,6,9,Don't know/ Haven't heard enough,,True,missing,
trust_courts,6,98,Refused,,True,missing,
trust_courts,7,-1,Missing,,True,missing,
trust_courts,7,0,Not at all,0,False,direct,
trust_courts,7,1,Just a little,1,False,direct,
trust_courts,7,2,Somewhat,2,False,direct,
trust_courts,7,3,A lot,3,False,direct,
trust_courts,7,8,Refused,,True,missing,
trust_courts,7,9,Don’t know/Haven’t heard enough,,True,missing,
trust_courts,8,-1,Missing,,True,missing,
trust_courts,8,0,Not at all,0,False,direct,
trust_courts,8,1,Just a little,1,False,direct,
trust_courts,8,2,Somewhat,2,False,direct,
trust_courts,8,3,A lot,3,False,direct,
trust_courts,8,8,Refused,,True,missing,
trust_courts,8,9,Don’t know/Haven’t heard enough to say,,True,missing,
trust_courts,9,-1,Missing,,True,missing,
trust_courts,9,0,Not at all,0,False,direct,
trust_courts,9,1,Just a little,1,False,direct,
trust_courts,9,2,Somewhat,2,False,direct,
trust_courts,9,3,A lot,3,False,direct,
trust_courts,9,8,Refused,,True,missing,
